id_,year,abdefect,abnomore,abhlth,abpoor,abrape,absingle,abany,realinc,racecen1,relig,spkmslm,spkhomo,childs,age,educ,sex,partyid,spkath,spkrac,spkcom,spkmil,sexnow
400,2018,Yes,,Yes,No,,,No,72640,White,Catholic,"Yes, allowed",Allowed,4,71,16,Female,Independent,Allowed,Not allowed,Allowed,Not allowed,Not applicable
401,2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12485,White,Protestant,Not applicable,Not applicable,0,34,16,Male,Independent,Not applicable,Not applicable,Not applicable,Not applicable,Man
402,2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,Catholic,Not applicable,Not applicable,0,77,12,Female,Independent,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
403,2018,No,No,No,No,No,No,No,,White,Catholic,"Yes, allowed",Allowed,0,20,12,Female,Independent,Allowed,,,Allowed,Women
404,2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2043,White,Protestant,Not applicable,Not applicable,2,38,3,Female,Not str republican,Not applicable,Not applicable,Not applicable,Not applicable,Women
405,2018,Yes,No,Yes,Yes,Yes,No,Yes,20430,White,Catholic,Not allowed,Allowed,4,29,12,Female,"Ind,near rep",Not allowed,Not allowed,Not allowed,Not allowed,Not applicable
406,2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20430,White,Catholic,Not applicable,Not applicable,2,69,15,Male,"Ind,near rep",Not applicable,Not applicable,Not applicable,Not applicable,Man
407,2018,Yes,Yes,Yes,No,Yes,No,Yes,7377.5,White,Catholic,"Yes, allowed",Allowed,4,36,11,Female,"Ind,near dem",Allowed,Allowed,Allowed,Allowed,Not applicable
408,2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Hispanic,Protestant,Not applicable,Not applicable,3,43,14,Female,,Not applicable,Not applicable,Not applicable,Not applicable,Women
409,2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4086,White,Catholic,Not applicable,Not applicable,3,64,13,Female,Independent,Not applicable,Not applicable,Not applicable,Not applicable,Women
410,2018,Yes,No,Yes,No,Yes,No,Yes,37455,White,Protestant,"Yes, allowed",Allowed,3,53,13,Male,"Ind,near rep",Allowed,Not allowed,Allowed,Allowed,Not applicable
411,2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,White,Catholic,Not applicable,Not applicable,2,69,15,Female,Independent,Not applicable,Not applicable,Not applicable,Not applicable,Women
412,2018,Yes,No,Yes,Yes,Yes,No,Yes,9647.5,White,Protestant,Not allowed,Allowed,3,39,10,Female,Not str democrat,Allowed,Allowed,Allowed,Allowed,Not applicable
413,2018,Yes,No,Yes,No,Yes,No,No,,White,Catholic,Not allowed,Allowed,2,57,14,Male,Independent,Allowed,,,Allowed,Not applicable
414,2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,63560,White,Protestant,Not applicable,Not applicable,1,63,15,Female,Strong republican,Not applicable,Not applicable,Not applicable,Not applicable,Women
415,2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,White,Protestant,Not applicable,Not applicable,1,75,8,Female,Independent,Not applicable,Not applicable,Not applicable,Not applicable,Women
416,2018,Yes,Yes,Yes,Yes,Yes,Yes,Yes,119879.4173,White,None,Not allowed,Allowed,2,32,16,Male,"Ind,near dem",Allowed,Not allowed,Allowed,Allowed,Not applicable
417,2018,Yes,No,Yes,Yes,Yes,No,Yes,37455,White,None,Not allowed,Allowed,2,46,13,Male,Independent,Allowed,Not allowed,Allowed,Allowed,Man
418,2018,Yes,Yes,Yes,No,Yes,No,Yes,20430,White,Catholic,Not allowed,Allowed,3,41,12,Male,Independent,Allowed,Allowed,Not allowed,Allowed,Man
419,2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,24970,Some other race,Catholic,Not applicable,Not applicable,3,,14,Female,Strong democrat,Not applicable,Not applicable,Not applicable,Not applicable,Women
420,2018,Yes,Yes,Yes,Yes,Yes,Yes,Yes,24970,White,Catholic,"Yes, allowed",Allowed,2,49,16,Female,"Ind,near dem",Allowed,Allowed,Allowed,Allowed,Not applicable
421,2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10782.5,White,None,Not applicable,Not applicable,2,65,13,Male,Strong republican,Not applicable,Not applicable,Not applicable,Not applicable,Man
422,2018,Yes,Yes,Yes,Yes,Yes,Yes,Yes,63560,White,Catholic,"Yes, allowed",Allowed,1,59,14,Female,Not str democrat,Allowed,Not allowed,Allowed,Allowed,Women
423,2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,30645,White,Catholic,Not applicable,Not applicable,2,47,12,Male,"Ind,near rep",Not applicable,Not applicable,Not applicable,Not applicable,Man
424,2018,Yes,No,Yes,No,Yes,No,No,,Other asian,Buddhism,Not allowed,Allowed,1,27,13,Female,Not str democrat,Allowed,Allowed,Not allowed,Not allowed,Women
425,2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20430,White,Catholic,Not applicable,Not applicable,2,57,12,Female,Independent,Not applicable,Not applicable,Not applicable,Not applicable,Women
426,2018,Yes,No,Yes,No,Yes,No,No,63560,White,Catholic,"Yes, allowed",Allowed,1,74,20,Female,"Ind,near rep",Allowed,Allowed,Allowed,Allowed,Women
427,2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1589,White,Protestant,Not applicable,Not applicable,2,51,18,Female,Not str republican,Not applicable,Not applicable,Not applicable,Not applicable,
